
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Mirador Barcelona Restaurant El Cordero,-,-----,Nou Barris,Torre Baró,BARCELONA,08033,BARCELONA,ESPANYA,41.45258513888889,2.1792986666666665,-----,
Restaurant Marisqueria Las 5 Villas,-,-----,Sarrià-Sant Gervasi,les Tres Torres,BARCELONA,08017,BARCELONA,ESPANYA,41.39303746111111,2.130673888888889,-----,
Bar Restaurant Blat Net *Sitges,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38432688611111,2.1697629722222223,-----,
Bar Bocatta *Pl Sant Jaume,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.382959622222224,2.1772279166666664,http://www.bocatta.es,
Bar Restaurant La Perla *Numáncia,-,-----,Les Corts,les Corts,BARCELONA,08029,BARCELONA,ESPANYA,41.38429909166667,2.1382555555555554,-----,
Restaurant La Torreta de Sarrià,-,-----,Sarrià-Sant Gervasi,Sarrià,BARCELONA,08017,BARCELONA,ESPANYA,41.40865347222222,2.1099690833333336,-----,
Sweet Gaufre,-,-----,Ciutat Vella,el Raval,BARCELONA,08002,BARCELONA,ESPANYA,41.381531716666665,2.1726858055555556,-----,
Bar Restaurant A Canteira,-,-----,Gràcia,el Camp d'en Grassot i Gràcia Nova,BARCELONA,08037,BARCELONA,ESPANYA,41.40220458333333,2.165419527777778,-----,
Bar Bus Exprés,-,-----,Sant Andreu,Sant Andreu,BARCELONA,08030,BARCELONA,ESPANYA,41.431663066666665,2.1835384166666665,-----,
Restaurant La Taverna de Santa Maria,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38310671388889,2.1811898888888885,
Restaurant Can Tornem-hi,-,-----,Les Corts,Pedralbes,BARCELONA,08034,BARCELONA,ESPANYA,41.386211877777775,2.112228638888889,-----,
Restaurant All i Oli,-,-----,Nou Barris,Porta,BARCELONA,08016,BARCELONA,ESPANYA,41.43137043333333,2.1812246388888887,http://www.rbmesa.com/allioli.htm,
Restaurant Sal i Pebre,-,-----,Les Corts,Pedralbes,BARCELONA,08034,BARCELONA,ESPANYA,41.386552183333336,2.112660388888889,-----,
Restaurant Triton,-,-----,Les Corts,Pedralbes,BARCELONA,08034,BARCELONA,ESPANYA,41.38667828055556,2.1126066666666667,http://www.rbmesa.com/triton.htm,
Bar Restaurant Paco Alcalde,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.377319675,2.1897478055555553,http://www.pacoalcalde-restaurante.com,
Bar Restaurant Ancora,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.37801235,2.1884919166666665,-----,
